ce88e3e0-b429-43c9-8aed-a11b846bdbfc "1222.24,1024.32,938.52,918.51,983.31,1202.18,1488.66,1596.14,1577.47,1536.60,1500.25,1443.27,1422.30,1476.11,1531.15,1539.39,1580.13,1677.91,1733.71,1736.42,1721.43,1704.71,1653.55,1495.59,1235.66,1038.81,948.70,935.46,1017.61,1227.99,1451.97,1550.57,1559.12,1532.22,1471.36,1375.09,1318.79,1360.85,1443.32,1520.51,1623.72,1712.91,1734.90,1713.78,1694.97,1683.51,1635.98,1482.05,1244.40,1070.36,986.04,967.98,1026.70,1169.07,1337.35,1479.29,1572.42,1592.13,1524.24,1388.86,1303.25,1351.77,1490.70,1598.90,1671.43,1746.70,1794.47,1787.39,1730.41,1655.06,1574.94,1435.73"
3bd4cf70-f1a9-40f1-9ac1-66c7af0bfd3a "598.04,598.32,597.60,596.18,595.64,596.68,598.53,600.20,601.44,602.36,602.77,602.62,602.21,601.79,601.61,601.77,601.75,601.20,600.59,600.55,600.47,599.54,598.39,598.14,598.70,598.82,598.14,597.57,597.81,598.58,599.39,600.12,600.79,601.14,601.16,601.20,601.32,601.12,600.58,600.30,600.45,600.50,600.13,599.73,599.58,599.46,599.17,598.97,599.00,599.08,598.97,598.81,598.86,599.22,599.72,600.12,600.26,600.22,600.26,600.45,600.52,600.28,599.98,599.95,600.11,600.09,599.83,599.59,599.54,599.51,599.41,599.31"
3fb200fb-4a4b-48ff-8bc7-3efccaf8a545 "134.66,141.16,184.90,269.34,305.23,216.85,152.86,173.11,230.91,244.38,246.37,310.15,387.12,344.66,275.94,306.36,394.68,367.35,242.86,194.50,235.20,306.83,310.63,246.14,203.33,205.66,229.84,252.34,240.50,202.44,184.92,210.17,271.10,295.57,251.86,230.62,279.86,335.09,314.44,275.50,284.83,301.55,270.10,235.93,242.40,267.34,267.05,242.88,224.24,222.95,237.86,260.06,258.14,228.99,213.02,236.15,275.70,276.53,244.39,237.18,268.95,299.13,288.75,262.36,255.05,262.24,262.71,254.90,249.54,248.90,248.38,247.09"
d2225740-64ec-41d8-9efe-dda467480a10 "763.09,738.17,737.10,755.88,778.60,792.39,815.92,869.76,984.14,1138.98,1244.68,1262.77,1248.57,1312.83,1459.54,1546.44,1531.86,1502.81,1521.92,1490.02,1314.11,1068.75,923.13,826.24,761.10,751.01,784.88,817.36,804.90,802.24,858.03,972.11,1085.49,1153.58,1195.24,1237.61,1305.63,1413.99,1511.91,1552.99,1564.63,1592.54,1612.88,1560.99,1377.63,1108.34,914.72,813.15,777.21,786.90,814.36,818.85,813.60,856.16,964.95,1055.95,1061.10,1069.30,1147.94,1254.30,1339.73,1400.37,1467.12,1542.92,1597.57,1620.44,1605.94,1538.68,1376.42,1113.46,901.48,817.29"
27b8a6c7-35a1-45eb-b267-179705991d53 "6830.71,5449.92,4420.35,4128.30,4138.67,4283.78,4916.09,6252.00,7563.25,8229.89,8746.10,9458.47,9710.34,9086.20,8065.20,7815.96,8061.96,7935.91,7574.99,7667.42,8187.00,8384.25,8124.94,7438.49,6295.43,5012.74,4223.22,4038.87,4253.58,4612.91,5005.95,5847.86,7335.68,8666.71,9203.92,9350.25,9442.98,9338.39,9074.73,8806.62,8468.01,8104.83,8112.79,8517.23,8822.49,8720.00,8289.63,7673.46,6638.24,5292.12,4445.83,4298.08,4478.82,4633.36,5051.66,6296.38,7895.66,8621.89,8648.47,8862.78,9277.62,9366.63,9102.55,8769.38,8485.36,8278.74,8296.80,8509.72,8609.82,8421.79,8028.22,7451.81"
e7d6a5d2-7551-4d7a-ae7e-4d65b31501bf "182.07,154.09,135.38,127.81,129.55,144.86,170.88,189.41,195.61,198.82,194.88,178.36,148.71,130.80,131.00,144.95,160.46,163.82,161.25,162.62,166.02,162.33,165.45,179.67,181.00,159.68,140.29,133.95,137.70,149.59,162.94,175.01,193.87,212.13,211.07,186.12,147.53,128.21,124.85,137.51,160.48,169.50,163.81,164.63,174.01,173.96,163.49,161.39,167.88,165.66,156.95,152.18,146.17,144.34,156.34,176.58,198.11,213.61,213.39,196.13,159.73,129.85,123.43,136.68,156.90,160.95,164.93,181.94,191.63,176.59,152.53,147.64"
39e40b36-b885-471b-9a03-1c730ba47725 "99.72,71.90,54.50,65.16,86.47,83.07,106.48,257.72,419.46,326.11,185.55,187.66,245.94,244.53,208.36,199.37,181.92,166.03,206.26,279.68,238.81,105.62,64.48,79.73,106.97,86.46,66.28,75.30,94.21,104.79,162.39,323.00,396.01,278.99,181.48,210.14,292.62,282.12,205.85,164.41,161.65,196.87,269.77,310.08,214.99,102.39,78.90,107.97,136.36,102.80,74.25,75.13,100.07,159.27,266.28,353.14,322.65,234.94,225.09,302.75,355.21,272.54,184.18,149.98,178.66,259.49,335.64,331.00,199.99,110.51,107.54,158.47"
62c714cb-cd27-4f1d-996b-fa0a241f630b "384.39,337.59,345.01,380.93,415.99,466.85,587.16,785.31,966.73,1052.61,1081.63,1127.60,1190.54,1233.68,1257.16,1285.81,1323.21,1345.63,1329.78,1258.82,1122.64,912.55,667.32,474.51,370.94,336.13,348.17,388.10,437.71,508.96,632.78,798.25,943.45,1038.81,1111.99,1193.78,1272.33,1317.99,1331.92,1340.48,1356.46,1361.45,1334.03,1262.62,1135.60,925.00,661.55,467.56,376.62,345.20,350.23,395.89,480.10,583.69,691.31,797.21,880.54,942.03,1017.44,1125.22,1227.40,1286.03,1316.34,1343.95,1362.03,1349.46,1305.47,1238.00,1132.43,944.62,685.82,476.47"
edf614b8-4de1-479c-ae9a-46acb9dc09be "569.37,516.40,501.76,520.58,583.99,658.76,667.12,648.56,694.31,871.43,1094.68,1182.20,1176.22,1178.10,1204.00,1248.68,1283.66,1278.81,1249.49,1239.97,1221.45,1123.06,900.08,677.17,564.41,511.85,509.42,573.88,695.29,719.58,659.38,667.35,800.88,993.34,1089.38,1111.40,1149.01,1219.58,1284.04,1300.46,1267.76,1244.56,1267.89,1288.09,1253.75,1143.32,928.04,691.60,568.91,541.87,566.48,615.42,653.59,676.97,724.41,822.66,931.95,968.69,969.00,1033.51,1158.39,1258.42,1286.55,1273.07,1276.90,1298.80,1301.68,1273.97,1222.41,1124.62,922.36,693.29"
86fc9582-eae6-440b-a7b1-a26ac498e0a4 "125379.28,239670.59,332489.66,322302.59,229660.63,172190.71,180395.50,157280.82,102984.04,94213.15,107200.08,111049.04,139125.96,173222.91,165740.86,96890.01,59791.70,92170.39,180371.17,180644.11,113341.63,98973.97,121959.14,141762.78,151866.57,195012.82,248806.69,257527.33,245007.51,234087.53,198860.25,116509.07,71852.19,74080.25,101788.24,148250.62,195058.14,203305.27,170022.16,119735.19,110063.88,153585.10,185004.14,144613.18,102224.04,116831.47,171639.60,196218.29,177907.82,205886.56,266734.64,304396.81,321026.72,313929.57,257942.62,130859.52,63719.26,69469.83,120137.73,159990.44,166967.04,179915.98,189676.34,175456.97,151757.75,139576.70,121923.89,100299.16,109103.84,166151.76,220627.69,194414.29"
